"통계연도","만나이","만나이명칭","전체아동수_남","국공립아동수_남","민간아동수_남","가정아동수_남","기타아동수_남","전체아동수_여","국공립아동수_여","민간아동수_여","가정아동수_여","기타아동수_여"
"2022","3","3세","13091","7060","4244","23","1764","11903","6465","3819","23","1596"
"2021","3","3세","15092","7631","5398","21","2042","14002","7173","4936","24","1869"
"2020","3","3세","17274","8193","6786","32","2263","16420","7780","6467","25","2148"
"2019","3","3세","19520","8323","8665","49","2483","18516","8000","8155","24","2337"
"2018","3","3세","19306","7842","9107","39","2318","18221","7413","8600","35","2173"
"2017","3","3세","19827","7433","10121","40","2233","18586","6979","9521","51","2035"
"2016","3","3세","22125","7312","12410","145","2258","20634","6728","11686","104","2116"
"2015","3","3세","21369","6902","12138","143","2186","19890","6449","11336","122","1983"
"2014","3","3세","21969","6572","13010","176","2211","20542","6120","12242","168","2012"
