"통계연도","만나이","만나이명칭","전체아동수_남","국공립아동수_남","민간아동수_남","가정아동수_남","기타아동수_남","전체아동수_여","국공립아동수_여","민간아동수_여","가정아동수_여","기타아동수_여"
"2022","2","2세","22279","10852","6005","3284","2138","20445","9960","5531","3013","1941"
"2021","2","2세","23190","10671","6568","3696","2255","21589","9828","6149","3550","2062"
"2020","2","2세","24659","10286","7710","4309","2354","23562","9754","7329","4258","2221"
"2019","2","2세","29342","10401","10688","5713","2540","27991","9955","10271","5319","2446"
"2018","2","2세","30996","9481","12467","6514","2534","29725","9148","11813","6339","2425"
"2017","2","2세","30964","8240","13383","6938","2403","29722","7867","12836","6713","2306"
"2016","2","2세","30786","7242","13763","7451","2330","29256","6844","13192","7108","2112"
"2015","2","2세","33642","6694","15897","8701","2350","31932","6253","15089","8423","2167"
"2014","2","2세","32779","6051","16188","8310","2230","31392","5820","15591","7919","2062"
